Days_Left,Task_Type,Estimated_Duration,Deadline_Time,Task_Importance,Past_Completion_Rate,Number_Of_Overdue_Tasks,Priority_Level
4,Student,4,05:08 AM,3,86,5,High
30,Student,3,01:49 PM,5,81,1,Low
26,Personal,4,10:35 PM,2,51,1,Low
27,Work,4,12:20 AM,1,81,5,Low
25,Student,3,06:28 AM,2,92,2,Low
26,Work,1,11:56 PM,2,98,1,Low
9,Student,4,06:32 PM,1,62,0,Low
26,Work,1,09:34 AM,2,81,1,Low
24,Student,2,02:13 AM,4,89,0,Low
11,Student,2,07:53 AM,1,59,0,Low
1,Work,4,09:53 PM,4,88,3,High
1,Student,1,02:47 AM,3,85,5,High
26,Work,2,08:45 PM,1,63,1,Low
1,Personal,4,07:28 PM,2,61,5,High
0,Student,1,12:39 AM,4,69,1,High
5,Student,3,10:02 AM,5,65,2,High
4,Personal,4,09:06 PM,5,89,2,High
12,Personal,3,08:24 PM,5,56,5,High
26,Student,4,05:40 AM,3,63,2,Low
0,Personal,1,11:56 PM,3,66,3,High
30,Student,2,09:05 PM,2,94,4,Low
27,Work,3,12:47 PM,1,57,0,Low
20,Student,3,08:41 AM,1,66,1,Low
0,Work,3,04:46 PM,4,84,4,High
25,Personal,4,04:50 AM,3,75,2,Low
5,Personal,2,08:35 AM,3,68,5,High
6,Personal,1,12:56 AM,4,74,3,High
25,Student,2,02:57 AM,4,92,2,Low
27,Work,3,10:46 PM,1,75,0,Low
9,Student,3,12:30 PM,1,67,0,Low
17,Work,2,02:16 PM,3,82,0,Low
0,Personal,3,01:02 PM,2,58,4,High
2,Work,4,12:33 PM,5,73,2,High
28,Student,4,11:57 AM,3,96,2,Low
26,Student,3,05:24 AM,4,86,0,Low
3,Personal,2,08:56 AM,3,51,3,High
25,Work,3,03:11 AM,2,94,5,Low
30,Student,2,04:26 PM,5,79,0,Low
21,Personal,2,04:37 AM,3,88,0,Low
21,Student,1,07:01 AM,4,78,0,Low
26,Student,3,10:40 AM,2,60,3,Low
26,Student,2,12:42 PM,4,98,1,Low
28,Work,4,04:28 PM,2,93,5,Low
18,Student,3,11:32 PM,1,58,1,Low
12,Work,2,12:43 PM,5,72,4,High
6,Work,2,07:24 AM,5,96,2,High
5,Work,4,10:06 AM,5,78,2,High
15,Personal,2,10:51 AM,1,85,0,Low
27,Personal,2,04:00 AM,3,77,2,Low
23,Student,3,09:07 AM,1,89,3,Low
27,Personal,1,11:13 PM,4,95,0,Low
1,Personal,4,06:06 AM,3,75,5,High
24,Personal,4,09:27 PM,2,96,1,Low
1,Student,2,05:43 PM,5,99,3,High
14,Work,1,07:35 PM,2,96,0,Low
25,Personal,2,05:36 PM,5,93,0,Low
0,Student,3,07:47 AM,3,71,5,High
27,Personal,3,12:10 AM,1,68,3,Low
7,Work,4,02:16 AM,5,75,4,High
24,Personal,1,02:38 AM,1,55,2,Low
12,Student,3,11:33 PM,2,72,0,Low
12,Student,1,03:43 AM,5,75,4,High
20,Work,4,02:17 PM,1,77,0,Low
22,Student,1,05:46 PM,3,82,2,Low
24,Student,4,02:32 PM,2,78,2,Low
18,Student,1,10:16 PM,1,91,2,Low
1,Personal,1,08:43 PM,5,94,5,High
20,Student,2,01:30 AM,1,97,2,Low
24,Student,4,12:14 PM,2,73,3,Low
28,Personal,1,06:33 AM,4,89,0,Low
19,Work,3,09:59 AM,2,96,1,Low
10,Student,3,04:55 PM,5,91,4,High
3,Work,4,04:12 AM,5,61,4,High
22,Student,1,01:48 AM,2,100,4,Low
22,Personal,3,06:39 PM,1,80,1,Low
19,Personal,4,10:55 PM,1,94,1,Low
24,Personal,1,03:48 PM,2,88,3,Low
14,Personal,2,11:49 AM,1,53,0,Low
18,Work,2,09:16 AM,1,94,4,Low
28,Work,2,07:44 PM,1,66,5,Low
1,Work,4,10:08 AM,3,60,5,High
28,Work,2,12:17 AM,3,75,4,Low
19,Work,4,03:51 AM,3,56,0,Low
12,Personal,1,01:11 PM,5,57,5,High
3,Personal,3,03:57 PM,3,52,5,High
26,Work,3,04:52 PM,2,82,1,Low
30,Personal,4,11:06 PM,5,90,2,Low
30,Student,1,06:16 PM,3,97,4,Low
27,Personal,4,11:38 AM,4,72,1,Low
26,Personal,3,06:20 PM,2,85,2,Low
29,Student,3,08:56 AM,5,90,1,Low
29,Student,3,06:26 PM,4,63,0,Low
28,Work,2,02:10 PM,2,56,4,Low
1,Student,1,02:06 PM,3,85,5,High
26,Personal,2,04:15 PM,1,67,0,Low
30,Personal,1,11:08 AM,1,73,3,Low
26,Student,4,06:55 PM,1,77,1,Low
8,Personal,3,08:55 PM,4,55,5,High
15,Student,2,08:08 AM,2,91,0,Low
12,Student,4,10:29 PM,2,62,0,Low
1,Work,2,08:19 PM,4,52,1,High
28,Personal,1,05:30 AM,2,63,0,Low
26,Student,3,08:48 PM,4,91,2,Low
5,Personal,4,10:14 AM,1,98,0,Low
23,Student,4,06:12 PM,3,71,0,Low
23,Personal,2,04:54 AM,3,68,0,Low
0,Student,4,08:39 PM,5,78,5,High
15,Work,4,09:01 AM,1,85,1,Low
13,Work,1,02:09 AM,4,63,5,High
17,Personal,1,08:23 PM,1,86,3,Low
0,Work,3,02:49 AM,4,94,2,High
0,Work,4,08:47 AM,5,75,2,High
1,Personal,2,08:40 PM,4,70,5,High
27,Work,1,06:56 AM,1,59,2,Low
30,Student,3,04:07 AM,2,100,3,Low
23,Student,4,07:20 AM,1,81,5,Low
26,Work,4,05:37 AM,1,95,2,Low
17,Personal,2,04:00 AM,2,85,1,Low
21,Personal,4,02:15 AM,2,82,2,Low
20,Student,2,01:03 PM,1,94,5,Low
23,Student,1,03:44 AM,1,73,4,Low
24,Work,2,08:14 PM,1,73,0,Low
19,Personal,2,09:23 PM,1,75,1,Low
16,Student,4,06:49 AM,1,61,0,Low
23,Personal,3,12:04 PM,3,92,0,Low
3,Student,1,03:39 PM,4,65,4,High
21,Personal,2,07:41 PM,1,98,0,Low
25,Work,3,06:14 AM,2,63,3,Low
29,Work,1,04:41 PM,4,75,3,Low
26,Student,1,08:44 PM,3,86,2,Low
4,Work,3,03:50 AM,3,54,4,High
4,Student,1,07:32 PM,3,78,5,High
24,Personal,3,06:35 PM,2,73,4,Low
2,Personal,3,07:48 PM,2,61,5,High
25,Student,1,09:13 PM,1,52,5,Low
30,Student,3,12:16 PM,1,61,3,Low
1,Work,2,05:14 AM,5,100,2,High
30,Personal,1,01:49 PM,4,58,1,Low
20,Student,4,04:14 PM,2,79,3,Low
23,Personal,3,02:36 PM,1,50,1,Low
5,Student,2,04:46 AM,5,93,5,High
24,Personal,4,02:55 AM,2,81,1,Low
25,Student,1,11:54 AM,3,72,1,Low
20,Personal,2,09:02 PM,2,96,0,Low
14,Work,1,03:21 AM,1,53,1,Low
25,Student,3,07:16 AM,3,65,0,Low
25,Student,4,10:47 AM,3,61,1,Low
4,Personal,2,11:59 AM,4,51,4,High
19,Student,1,12:01 AM,2,91,0,Low
26,Personal,4,07:47 AM,3,95,1,Low
30,Student,3,05:56 PM,3,92,1,Low
22,Work,4,09:17 AM,1,75,0,Low
11,Student,2,03:05 PM,4,52,5,High
17,Student,1,03:37 AM,5,68,5,High
5,Personal,3,07:19 PM,4,100,4,High
7,Student,1,11:59 PM,4,98,5,High
28,Student,4,10:39 AM,3,68,3,Low
29,Personal,1,02:44 PM,3,98,3,Low
24,Student,1,11:23 AM,2,76,4,Low
17,Personal,3,01:59 PM,1,78,2,Low
0,Personal,1,04:47 AM,5,52,1,High
20,Work,3,02:11 PM,1,89,2,Low
22,Student,1,06:25 AM,1,51,2,Low
18,Student,4,02:28 PM,2,91,2,Low
19,Work,1,04:33 PM,1,76,1,Low
30,Student,2,01:35 PM,4,68,0,Low
6,Personal,4,08:25 PM,5,53,5,High
8,Personal,4,10:58 AM,3,73,5,High
17,Personal,1,11:28 AM,3,84,0,Low
0,Student,3,09:07 AM,4,58,3,High
26,Student,4,12:07 AM,2,88,0,Low
30,Work,2,09:45 PM,2,56,3,Low
4,Work,2,06:36 AM,4,79,3,High
1,Personal,3,05:19 PM,4,87,3,High
14,Personal,4,11:11 AM,1,50,0,Low
30,Work,4,04:00 PM,2,54,3,Low
1,Student,2,01:38 PM,4,66,3,High
27,Personal,3,07:28 AM,2,55,1,Low
28,Student,4,06:02 AM,5,97,0,Low
12,Student,3,11:44 AM,5,73,5,High
3,Work,1,02:49 PM,5,89,5,High
2,Personal,3,06:57 PM,4,74,4,High
3,Work,2,07:53 AM,5,76,5,High
16,Personal,4,08:08 AM,1,84,0,Low
1,Student,4,04:44 AM,4,92,2,High
25,Student,2,01:06 AM,3,52,2,Low
0,Work,1,10:36 PM,5,84,2,High
1,Student,3,05:12 AM,3,94,4,High
24,Student,2,04:51 PM,2,65,0,Low
11,Personal,3,01:21 PM,1,94,2,Low
5,Student,1,11:13 AM,3,95,5,High
5,Student,2,04:44 PM,4,74,3,High
6,Work,2,11:21 PM,5,86,5,High
18,Personal,3,12:36 AM,2,64,1,Low
26,Work,4,04:21 PM,4,67,0,Low
1,Work,2,11:08 PM,5,90,2,High
4,Work,3,11:29 PM,4,88,4,High
25,Student,1,05:36 PM,3,75,1,Low
22,Student,4,11:21 PM,2,64,1,Low
21,Personal,1,07:40 AM,2,100,3,Low
29,Student,3,10:24 AM,5,60,0,Low
20,Student,3,06:45 AM,2,76,3,Low
1,Work,2,06:50 AM,4,59,4,High
30,Personal,2,09:09 AM,2,61,3,Low
21,Personal,1,08:46 PM,1,96,5,Low
13,Student,2,11:08 AM,5,70,4,High
29,Student,3,09:07 AM,3,65,0,Low
23,Personal,4,08:56 AM,3,70,1,Low
24,Work,3,10:48 PM,1,56,5,Low
21,Work,1,10:35 AM,1,89,4,Low
30,Personal,2,03:45 PM,5,82,0,Low
25,Personal,1,10:57 PM,3,98,2,Low
25,Work,2,07:03 AM,2,74,0,Low
20,Personal,3,07:11 PM,1,72,1,Low
23,Student,2,05:58 PM,4,94,1,Low
21,Work,3,08:07 PM,1,83,2,Low
10,Student,2,02:25 AM,2,88,0,Low
11,Personal,3,09:29 PM,1,75,0,Low
21,Personal,4,10:50 PM,1,74,1,Low
3,Work,4,10:38 PM,4,85,3,High
20,Personal,2,09:06 PM,2,65,0,Low
11,Student,3,02:43 PM,5,75,4,High
25,Work,3,11:09 PM,2,96,2,Low
26,Work,1,04:43 PM,2,65,3,Low
16,Personal,2,12:58 PM,2,81,1,Low
4,Work,4,12:56 PM,4,83,3,High
4,Student,2,07:08 AM,5,80,4,High
24,Student,1,03:29 PM,1,75,1,Low
29,Student,3,08:24 PM,4,74,2,Low
23,Work,3,10:30 PM,1,83,4,Low
29,Work,3,10:30 AM,3,62,2,Low
27,Personal,2,09:05 AM,1,91,3,Low
16,Work,4,08:40 AM,2,60,1,Low
24,Student,3,08:36 PM,1,100,3,Low
20,Personal,1,05:08 PM,1,75,4,Low
10,Student,3,03:58 AM,1,92,1,Low
26,Personal,1,07:49 PM,4,59,0,Low
21,Work,2,10:46 PM,2,88,3,Low
1,Personal,1,11:45 PM,5,83,2,High
25,Personal,2,05:09 PM,3,87,2,Low
30,Work,2,05:59 PM,3,55,0,Low
18,Personal,3,11:20 AM,2,88,0,Low
24,Personal,2,10:58 PM,4,54,0,Low
13,Personal,4,04:46 PM,1,97,0,Low
20,Personal,3,04:02 AM,2,67,0,Low
5,Student,3,02:03 AM,5,50,4,High
26,Student,2,11:07 AM,3,55,3,Low
3,Work,4,10:08 PM,5,66,2,High
7,Student,2,11:36 AM,4,52,3,High
30,Personal,3,01:24 PM,1,51,0,Low
26,Personal,3,01:16 PM,2,88,4,Low
17,Student,1,08:06 AM,2,81,1,Low
0,Personal,3,12:16 AM,5,62,2,High
11,Work,4,02:04 PM,1,100,2,Low
11,Personal,2,01:57 PM,5,83,5,High
2,Work,4,11:24 PM,5,69,4,High
23,Work,4,12:21 PM,1,57,1,Low
22,Student,4,08:07 PM,2,62,3,Low
26,Personal,4,11:19 PM,2,64,3,Low
22,Student,4,04:11 AM,3,75,1,Low
28,Personal,3,11:12 PM,5,63,0,Low
0,Student,1,07:57 AM,5,66,0,High
17,Work,3,01:12 AM,1,88,1,Low
8,Student,1,10:15 PM,5,66,2,High
26,Personal,2,02:50 PM,3,86,1,Low
23,Work,1,01:21 AM,3,76,1,Low
28,Personal,1,12:02 PM,1,65,2,Low
25,Work,4,04:51 PM,4,84,0,Low
20,Student,2,09:09 AM,3,85,0,Low
1,Personal,1,11:01 PM,4,87,2,High
30,Student,2,02:52 AM,3,80,4,Low
25,Work,4,04:27 PM,5,76,0,Low
2,Personal,4,04:48 AM,4,91,5,High
14,Work,1,02:50 PM,2,92,1,Low
25,Work,3,12:41 PM,3,77,1,Low
13,Student,4,06:55 AM,1,100,2,Low
30,Work,2,11:54 PM,3,61,3,Low
1,Student,4,01:59 AM,3,71,5,High
23,Work,1,01:31 AM,2,93,3,Low
6,Student,3,10:20 PM,5,83,2,High
21,Work,2,12:43 PM,3,78,1,Low
27,Work,3,02:20 AM,2,63,1,Low
27,Work,4,04:47 PM,2,94,4,Low
24,Work,1,07:09 AM,2,56,3,Low
6,Student,2,08:11 PM,4,63,4,High
27,Personal,1,03:02 AM,3,93,1,Low
25,Personal,4,03:07 PM,3,97,3,Low
25,Student,1,10:57 AM,3,67,0,Low
13,Work,4,07:54 PM,1,68,2,Low
0,Student,4,04:15 PM,2,68,5,High
28,Personal,3,09:25 PM,2,58,1,Low
28,Student,1,02:28 PM,2,83,3,Low
0,Work,3,06:18 AM,4,82,5,High
7,Student,4,02:01 PM,5,66,5,High
21,Personal,4,08:49 AM,2,74,2,Low
27,Student,2,07:11 PM,2,95,5,Low
19,Personal,1,10:02 PM,2,58,0,Low
24,Student,1,12:49 AM,1,74,2,Low
25,Student,2,08:47 AM,1,53,4,Low
29,Student,4,04:20 PM,3,62,3,Low
30,Personal,2,09:43 PM,3,72,3,Low
25,Personal,1,08:31 AM,3,88,3,Low
29,Personal,4,10:23 AM,2,89,0,Low
8,Work,2,08:05 AM,5,62,3,High
24,Personal,4,03:18 AM,4,66,1,Low
27,Student,3,03:31 AM,1,69,1,Low
30,Personal,1,06:26 PM,2,92,5,Low
22,Student,2,11:21 PM,1,76,0,Low
19,Personal,4,03:50 PM,1,65,2,Low
25,Work,4,12:44 AM,3,84,1,Low
25,Personal,4,06:11 AM,3,59,0,Low
21,Work,4,01:47 PM,2,99,1,Low
16,Student,2,12:18 PM,1,52,2,Low
19,Personal,4,12:07 PM,2,94,3,Low
26,Work,3,03:43 AM,3,98,3,Low
30,Personal,3,01:25 AM,2,60,5,Low
29,Personal,3,05:28 AM,1,56,1,Low
23,Work,3,12:56 PM,1,61,2,Low
30,Student,4,07:51 PM,4,77,0,Low
28,Personal,4,03:35 PM,5,86,0,Low
29,Personal,3,09:31 AM,5,75,0,Low
27,Personal,2,11:53 PM,1,74,0,Low
30,Work,1,11:42 PM,3,55,1,Low
25,Personal,1,11:43 PM,1,71,4,Low
5,Personal,4,03:37 AM,5,62,5,High
0,Personal,2,03:03 PM,4,66,4,High
0,Student,2,04:49 AM,4,59,1,High
21,Work,2,10:48 AM,1,76,4,Low
24,Student,4,05:17 PM,3,96,2,Low
30,Work,1,09:37 PM,3,97,5,Low
16,Personal,4,08:26 PM,1,70,0,Low
22,Work,4,02:13 AM,3,83,1,Low
23,Student,4,10:44 AM,3,72,2,Low
7,Work,3,08:56 PM,5,55,5,High
25,Student,4,02:14 AM,3,61,1,Low
30,Personal,1,03:13 AM,5,67,0,Low
25,Work,4,07:44 AM,1,80,4,Low
8,Work,2,01:49 PM,4,51,5,High
2,Work,4,11:32 AM,3,64,4,High
19,Personal,4,02:58 PM,2,87,0,Low
1,Student,3,04:11 PM,2,56,5,High
29,Work,2,02:09 PM,5,60,0,Low
25,Personal,2,07:27 AM,2,77,4,Low
29,Student,4,03:31 PM,2,81,1,Low
21,Personal,2,05:29 PM,1,50,0,Low
6,Work,1,11:31 AM,3,97,5,High
29,Work,3,10:54 PM,4,67,2,Low
12,Student,1,08:17 PM,5,67,4,High
26,Student,4,07:22 PM,2,97,0,Low
25,Student,3,10:25 PM,1,77,2,Low
24,Personal,1,04:40 AM,1,71,0,Low
28,Work,1,07:38 PM,1,100,3,Low
27,Personal,4,09:16 PM,4,65,2,Low
30,Personal,2,02:24 PM,2,91,1,Low
0,Personal,3,07:28 PM,5,50,3,High
27,Work,1,01:11 PM,4,59,0,Low
9,Work,2,05:45 PM,4,50,4,High
28,Student,3,01:25 PM,1,96,0,Low
17,Personal,1,06:03 AM,1,60,3,Low
15,Student,1,01:08 PM,2,86,0,Low
0,Work,1,04:41 PM,2,62,4,High
24,Personal,2,11:55 PM,2,83,1,Low
29,Student,1,09:57 PM,3,80,1,Low
18,Student,1,07:20 AM,5,60,5,High
24,Personal,4,02:44 AM,3,56,1,Low
23,Personal,2,08:32 PM,1,68,1,Low
9,Work,1,10:19 PM,4,72,4,High
24,Personal,2,04:31 AM,2,65,0,Low
27,Student,1,04:18 PM,3,90,4,Low
30,Work,1,05:36 PM,2,57,2,Low
1,Personal,3,11:34 PM,5,90,2,High
25,Work,4,11:45 AM,2,79,0,Low
30,Student,1,08:13 PM,3,57,3,Low
30,Student,2,12:40 AM,1,85,0,Low
26,Student,4,04:54 PM,4,97,2,Low
1,Personal,2,11:57 AM,5,58,0,High
2,Student,1,08:50 AM,4,69,5,High
15,Work,3,02:20 PM,5,98,5,High
26,Student,4,11:56 AM,2,77,5,Low
22,Personal,2,12:53 AM,1,94,5,Low
28,Personal,3,02:15 AM,1,73,0,Low
21,Personal,3,10:03 PM,4,67,0,Low
17,Student,3,06:44 AM,2,98,0,Low
26,Personal,1,09:27 PM,3,60,0,Low
30,Student,3,02:34 AM,1,62,4,Low
11,Personal,3,11:20 PM,4,67,5,High
11,Personal,1,08:47 PM,1,60,0,Low
29,Personal,2,12:27 AM,1,84,3,Low
16,Work,2,12:16 AM,1,66,0,Low
26,Personal,4,07:38 PM,5,54,0,Low
23,Personal,3,03:25 PM,3,71,1,Low
27,Student,1,11:39 AM,1,80,3,Low
19,Work,3,02:23 AM,2,90,1,Low
9,Student,4,02:00 PM,5,88,3,High
29,Personal,1,11:31 AM,3,99,2,Low
29,Work,3,05:16 AM,2,92,0,Low
12,Student,1,08:58 AM,1,62,1,Low
28,Student,3,11:51 AM,3,58,2,Low
25,Personal,3,03:32 PM,2,94,3,Low
24,Student,1,06:59 PM,1,55,1,Low
22,Personal,4,12:31 AM,1,86,2,Low
29,Work,1,03:02 PM,3,80,3,Low
25,Personal,3,03:45 PM,2,72,4,Low
28,Student,3,11:37 AM,4,59,0,Low
22,Personal,2,02:15 PM,2,74,1,Low
0,Personal,3,03:01 AM,2,95,5,High
23,Personal,3,11:17 AM,2,97,4,Low
0,Personal,2,12:46 AM,5,71,5,High
26,Personal,4,11:48 AM,1,86,0,Low
29,Work,1,05:31 PM,1,97,0,Low
23,Personal,4,11:06 PM,1,50,0,Low
17,Work,2,07:51 PM,1,66,3,Low
17,Personal,1,09:40 AM,2,64,0,Low
21,Personal,4,05:09 AM,2,50,0,Low
21,Student,4,05:53 AM,1,74,3,Low
11,Student,2,02:32 PM,1,94,2,Low
26,Personal,4,05:37 AM,1,80,2,Low
21,Work,1,02:26 PM,3,97,2,Low
26,Personal,1,10:46 PM,1,84,3,Low
6,Work,4,08:41 AM,5,97,5,High
11,Student,1,04:12 PM,5,68,4,High
3,Personal,2,08:47 PM,4,100,4,High
0,Work,3,12:03 AM,5,80,2,High
8,Personal,3,06:28 AM,4,70,4,High
0,Work,1,03:38 PM,5,55,0,High
4,Personal,1,06:50 PM,4,57,3,High
3,Work,2,09:26 AM,4,52,2,High
0,Student,2,11:09 AM,4,76,3,High
5,Student,1,07:28 AM,5,65,1,High
4,Personal,2,06:15 AM,3,72,5,High
1,Work,3,06:33 AM,5,71,0,High
11,Work,4,08:13 PM,5,62,4,High
1,Personal,2,10:31 PM,5,64,4,High
12,Personal,4,12:59 PM,5,96,5,High
2,Student,3,04:29 PM,3,78,5,High
0,Personal,4,08:01 AM,5,82,4,High
4,Work,2,10:26 AM,3,72,5,High
7,Personal,4,05:13 AM,4,68,5,High
7,Work,4,09:40 PM,5,51,5,High
0,Personal,4,06:16 PM,5,90,1,High
3,Personal,1,10:26 PM,4,99,3,High
10,Work,2,01:52 PM,5,100,5,High
2,Student,3,03:41 AM,5,84,2,High
5,Student,1,01:57 PM,4,64,4,High
5,Student,1,04:14 PM,4,80,5,High
3,Work,1,05:36 PM,5,64,5,High
0,Work,3,09:12 AM,3,62,4,High
2,Work,4,01:58 AM,2,55,5,High
4,Work,4,02:43 AM,5,57,5,High
9,Personal,1,02:39 PM,5,74,4,High
6,Work,1,01:23 AM,4,68,5,High
11,Personal,2,03:14 PM,5,54,3,High
12,Student,2,08:30 PM,5,75,5,High
6,Work,2,04:57 AM,4,56,4,High
6,Student,1,10:21 PM,5,78,5,High
7,Personal,4,05:47 PM,5,80,2,High
4,Personal,1,04:08 AM,4,83,3,High
5,Personal,1,07:52 PM,4,66,5,High
6,Work,2,10:36 PM,3,50,4,High
3,Personal,2,10:52 AM,3,78,4,High
2,Personal,4,07:48 AM,5,69,5,High
7,Personal,4,06:47 PM,4,63,4,High
2,Work,4,07:02 AM,3,69,5,High
1,Work,4,07:01 AM,5,82,0,High
8,Personal,3,04:43 AM,4,100,5,High
15,Work,2,02:51 AM,5,55,4,High
2,Personal,4,02:14 AM,5,62,2,High
11,Work,2,06:20 AM,5,86,5,High
11,Student,1,08:06 AM,4,54,5,High
5,Student,4,12:24 AM,4,64,5,High
2,Work,2,06:31 PM,5,55,2,High
2,Work,2,04:54 PM,4,73,4,High
0,Personal,2,07:10 PM,5,95,2,High
4,Personal,3,05:49 PM,4,62,4,High
0,Student,2,05:46 PM,4,93,3,High
10,Work,4,02:04 PM,5,70,3,High
2,Personal,1,03:45 AM,3,51,3,High
0,Student,1,03:05 PM,5,70,5,High
15,Personal,2,08:43 AM,5,58,5,High
7,Work,2,01:17 AM,4,91,5,High
11,Work,1,12:21 AM,4,53,5,High
1,Student,3,10:04 PM,4,88,3,High
0,Student,3,11:50 PM,5,61,0,High
1,Work,1,04:16 AM,3,53,3,High
11,Personal,1,01:37 AM,5,68,3,High
4,Personal,3,12:36 PM,5,77,1,High
6,Student,2,07:03 PM,5,53,1,High
8,Student,4,12:18 PM,4,71,4,High
0,Student,1,07:09 PM,3,55,2,High
1,Personal,4,11:24 PM,5,56,1,High
1,Work,2,09:53 AM,5,93,2,High
3,Student,2,09:28 AM,4,80,2,High
14,Student,2,06:17 AM,5,79,5,High
3,Work,1,05:43 PM,4,72,5,High
11,Personal,3,11:05 PM,5,91,4,High
12,Student,1,08:06 PM,4,56,5,High
9,Student,3,10:26 PM,4,63,5,High
2,Work,1,08:22 PM,5,95,1,High
7,Work,2,11:05 AM,5,93,5,High
7,Personal,2,01:39 AM,4,60,3,High
5,Personal,3,07:10 PM,3,74,5,High
5,Work,4,06:00 PM,5,85,5,High
8,Work,4,06:56 AM,5,63,3,High
3,Work,1,03:49 PM,4,82,4,High
3,Student,4,05:06 PM,5,87,2,High
0,Student,1,08:10 AM,2,73,4,High
5,Personal,2,09:46 PM,3,53,4,High
6,Work,1,01:00 AM,5,62,2,High
1,Student,4,12:20 AM,5,56,4,High
5,Student,2,07:05 AM,4,62,3,High
12,Student,4,06:57 PM,5,94,5,High
2,Student,1,08:32 PM,4,80,2,High
0,Student,2,05:55 AM,4,79,1,High
4,Personal,2,04:20 PM,5,64,3,High
7,Work,1,10:40 PM,4,70,5,High
2,Personal,1,11:38 AM,3,70,4,High
8,Work,4,11:59 AM,5,83,4,High
2,Work,2,01:58 AM,5,91,2,High
1,Work,1,11:24 AM,3,98,4,High
2,Work,2,01:38 AM,5,58,1,High
3,Work,3,07:33 PM,3,90,5,High
12,Student,2,10:49 AM,5,55,4,High
17,Personal,4,09:30 AM,5,57,5,High
10,Work,3,09:59 PM,4,86,5,High
4,Personal,2,01:44 AM,4,51,2,High
1,Student,4,12:53 PM,5,58,5,High
0,Work,1,04:38 AM,2,71,4,High
3,Personal,2,04:35 AM,5,50,0,High
7,Work,3,12:43 AM,5,55,4,High
4,Personal,4,10:55 AM,5,62,2,High
4,Personal,4,03:21 PM,3,65,4,High
7,Work,1,10:31 AM,5,76,2,High
14,Student,4,09:00 AM,5,53,5,High
6,Personal,2,02:20 PM,5,95,4,High
3,Student,4,04:20 AM,4,88,3,High
4,Work,1,03:04 PM,4,99,4,High
12,Work,3,09:50 AM,4,76,5,High
14,Personal,1,06:01 PM,5,65,5,High
0,Work,4,06:50 AM,3,96,4,High
12,Student,2,12:38 PM,5,93,4,High
6,Work,2,07:00 AM,3,89,5,High
7,Personal,4,04:34 AM,5,92,3,High
16,Personal,2,08:27 PM,5,50,5,High
10,Student,1,05:37 PM,4,51,4,High
2,Personal,3,10:52 PM,4,66,3,High
1,Student,4,07:15 AM,2,57,5,High
5,Personal,4,07:05 PM,4,70,3,High
1,Student,1,02:01 AM,3,59,5,High
8,Work,3,01:08 AM,5,64,2,High
0,Student,4,08:42 AM,4,73,3,High
12,Work,1,11:19 AM,5,86,5,High
8,Work,4,04:07 AM,5,90,5,High
11,Personal,3,11:18 PM,5,79,4,High
2,Work,3,01:42 PM,5,72,0,High
1,Personal,1,01:52 PM,4,94,4,High
14,Work,4,08:59 AM,5,65,4,High
1,Student,3,11:29 AM,5,61,3,High
6,Student,2,11:45 PM,5,68,5,High
0,Work,2,10:34 PM,5,69,1,High
2,Personal,2,03:52 AM,5,65,3,High
2,Work,2,10:24 AM,5,71,2,High
2,Student,3,05:02 PM,5,57,3,High
12,Personal,1,12:33 PM,5,68,5,High
4,Student,3,12:59 PM,5,78,2,High
4,Work,1,12:20 PM,4,64,2,High
1,Work,2,05:31 PM,3,73,3,High
9,Work,3,10:01 AM,4,53,5,High
4,Work,1,06:49 PM,3,60,4,High
0,Work,2,10:05 AM,3,100,3,High
2,Work,1,12:15 AM,5,51,3,High
12,Personal,2,10:41 AM,4,61,5,High
17,Student,1,04:19 AM,5,70,5,High
1,Student,2,08:07 AM,4,83,3,High
4,Work,4,09:24 PM,4,70,3,High
0,Work,4,01:17 PM,2,63,5,High
10,Work,3,06:30 AM,5,99,4,High
3,Personal,1,01:37 AM,4,97,5,High
14,Personal,4,02:04 PM,5,60,4,High
0,Work,3,07:53 AM,5,94,2,High
12,Personal,2,11:30 AM,5,97,5,High
6,Personal,3,07:14 AM,5,65,3,High
4,Student,2,08:18 AM,3,66,5,High
5,Personal,1,02:14 AM,4,66,3,High
3,Student,3,03:34 AM,5,65,1,High
9,Student,4,01:51 PM,5,83,4,High
0,Work,4,09:25 AM,2,74,4,High
3,Work,3,12:37 PM,5,94,5,High
6,Personal,2,04:28 PM,5,59,1,High
0,Personal,4,10:06 PM,4,65,1,High
9,Work,3,05:44 AM,5,90,3,High
11,Student,3,08:34 PM,5,90,5,High
3,Student,4,09:41 AM,5,81,3,High
0,Student,4,04:17 AM,2,96,5,High
1,Personal,1,10:06 AM,4,94,5,High
4,Personal,4,11:30 PM,4,82,3,High
3,Work,4,08:23 AM,5,62,4,High
12,Work,4,06:01 AM,4,60,5,High
1,Work,2,07:53 AM,5,82,2,High
3,Work,4,08:40 AM,5,83,4,High
0,Work,4,04:52 AM,4,50,5,High
11,Work,1,03:46 AM,5,60,3,High
7,Work,3,08:22 PM,5,63,3,High
3,Work,2,10:24 AM,5,59,3,High
3,Work,3,06:44 PM,5,73,3,High
3,Work,3,06:19 AM,5,60,4,High
8,Personal,3,08:42 AM,4,73,5,High
9,Student,4,07:51 AM,3,59,5,High
13,Work,3,06:08 PM,4,60,5,High
6,Personal,3,07:21 PM,4,95,4,High
